,poblacion,fecha,hora,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud,zona
193,Gees,2006-10-24,10:48:30,Blanco,BI-636,14,14,BILBAO,-3.033625,43.21482,42
194,Santurtzi,2006-10-24,09:57:55,Blanco,A-8,130,130,CANTABRIA,-3.055796,43.3228,4
195,Bilbao,2006-10-24,09:47:14,Blanco,BI-3717,0,0,ETXEBARRI,-2.88953,43.24708,17
196,Bilbao,2006-10-24,09:46:12,Blanco,BI-636,6,6,BILBAO,-2.96896,43.25747,7
197,,2006-10-20,15:29:14,Blanco,AP-68,11,11,ZARAGOZA,-2.929267,43.15753,48
198,,2006-10-23,22:26:02,Blanco,A-8,129,131,CANTABRIA,-3.04802,43.31637,4
199,Bilbao,2006-10-23,23:06:23,Amarillo,A-8,117,116,IRUN,-2.94541,43.25161,6
200,Bilbao,2006-10-23,21:09:17,Blanco,A-8,112,112,CANTABRIA,-2.89581,43.23219,17
201,Bilbao,2006-10-23,14:54:37,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061,28
202,Basauri,2006-10-22,22:25:22,Blanco,A-8,111,113,CANTABRIA,-2.883459,43231.0,45
203,Amorebieta-Etxano,2006-10-22,22:26:45,Blanco,A-8,100,100,IRUN,-2.75568,43.23077,10
204,Alonsotegi,2006-10-21,09:26:56,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061,28
205,Galdakao,2006-10-21,08:37:57,Blanco,N-634,103,103,SANTANDER,-2.861065,43.23255,3
206,Amorebieta-Etxano,2006-10-21,08:23:41,Blanco,A-8,101,101,IRUN,-2.76907,43.23126,10
207,,2006-10-20,09:35:30,Blanco,BI-636,6,6,BILBAO,-2.96896,43.25747,7
208,Derio,2006-10-20,02:52:44,Blanco,N-637,18,18,ERLETXE ( por PTE. RONTEGI),-2.89266,43.28633,15
209,Basauri,2006-10-19,23:30:00,Blanco,A-8,116,116,CANTABRIA,-2.93578,43.2479,5
210,,2006-10-19,07:25:18,Blanco,AP-68,13,13,ZARAGOZA,-2.93714,43.14311,48
211,Barakaldo,2006-10-19,13:01:41,Blanco,A-8,124,124,CANTABRIA,-3.0047,43.28869,12
212,,2006-10-19,07:22:36,Blanco,AP-68,5,5,BILBAO,-2.894915,43.19935,27
213,Barakaldo,2006-10-18,23:15:41,Blanco,A-8,121,121,IRUN,-2.977874,43.27453,7
214,Basauri,2006-10-18,21:18:06,Amarillo,A-8,113,111,IRUN,-2.90804,43.23352,24
215,,2006-10-18,07:09:24,Blanco,AP-68,5,4,BILBAO,-2.894915,43.19935,27
216,Arrankudiaga,2006-10-17,18:46:04,Blanco,AP-68,10,10,ZARAGOZA,-2.920465,43.1638,46
217,Bilbao,2006-10-18,10:49:46,Blanco,A-8,117,117,CANTABRIA,-2.94514,43.25163,6
218,Barakaldo,2006-10-17,22:53:12,Blanco,A-8,121,121,CANTABRIA,-2.978033,43.27476,7
219,Bilbao,2006-10-17,21:12:02,Blanco,A-8,111,113,CANTABRIA,-2.883459,43231.0,45
220,Gees,2006-10-17,12:24:36,Amarillo,BI-636,14,14,BILBAO,-3.033625,43.21482,42
221,,2006-10-17,09:24:42,Blanco,BI-636,6,6,BILBAO,-2.96896,43.25747,7
222,Bilbao,2006-10-16,23:34:08,Blanco,A-8,120,120,CANTABRIA,-2.9675,43.27193,7
223,Bilbao,2006-10-16,21:20:38,Blanco,A-8,113,113,IRUN,-2.90804,43.23352,24
224,Alonsotegi,2006-10-16,11:28:24,Negro,BI-636,9,9,BILBAO,-2.993629,43.24061,28
225,,2006-10-16,06:25:56,Blanco,AP-68,14,14,BILBAO,-2.93247,43.13451,48
226,Derio,2006-10-15,23:43:53,Blanco,N-633,10,10,AEROPUERTO DE LOIU,-2.88083,43.28849,15
227,Bilbao,2006-10-15,22:12:01,Blanco,A-8,112,112,CANTABRIA,-2.89581,43.23219,17
228,Basauri,2006-10-13,22:10:08,Blanco,A-8,112,112,CANTABRIA,-2.89581,43.23219,17
229,Basauri,2006-10-11,21:10:10,Blanco,A-8,112,112,CANTABRIA,-2.89581,43.23219,17
230,Leioa,2006-10-11,10:40:06,Blanco,N-637,16,16,CRUCES,-2.915619,43.28973,1
231,Arrigorriaga,2006-10-11,08:22:35,Blanco,AP-68,10,10,ZARAGOZA,-2.920465,43.1638,46
232,,2006-10-10,23:13:11,Blanco,N-637,15,15,ERLETXE ( por PTE. RONTEGI),-2.92609,43.28585,39
233,Barakaldo,2006-10-10,21:35:19,Blanco,A-8,122,122,IRUN,-2.98578,43.28167,7
234,Barakaldo,2006-10-10,10:34:21,Blanco,BI-637,16,16,KUKULARRA,-2.99885,43.35301,9
235,Bilbao,2006-10-10,08:16:21,Blanco,BI-636,6,4,BILBAO,-2.96896,43.25747,7
236,,2006-10-10,07:49:16,Blanco,AP-68,10,10,ZARAGOZA,-2.920465,43.1638,46
237,,2006-10-10,03:27:18,Blanco,N-644,129,129,Santurtzi,-3.050703,43.32296,4
238,Bilbao,2006-10-09,23:53:37,Blanco,BI-625,379,379,BILBAO,-2.90417,43.18222,46
239,,2006-10-09,22:06:18,Blanco,N-644,130,130,Bilbao,-3.04283,43.32948,16
240,Basauri,2006-10-09,21:12:33,Blanco,A-8,112,112,CANTABRIA,-2.89581,43.23219,17
241,Galdakao,2006-10-09,20:08:25,Blanco,N-637,28,28,ERLETXE ( por PTE. RONTEGI),-2.80231,43.23901,8
242,Arrigorriaga,2006-10-09,13:37:00,Blanco,AP-68,5,5,ZARAGOZA,-2.894917,43.19963,27
243,Bilbao,2006-10-08,23:59:13,Blanco,A-8,113,115,IRUN,-2.90804,43.23352,24
244,Galdakao,2006-10-08,19:38:45,Blanco,N-637,28,28,ERLETXE ( por PTE. RONTEGI),-2.80231,43.23901,8
245,Gees,2006-10-06,11:41:50,Amarillo,BI-636,15,15,BILBAO,-3.042234,43.20626,47
246,,2006-10-06,09:50:10,Blanco,BI-637,18,18,KUKULARRA,-3.00088,43.36999,9
247,,2006-10-06,09:10:11,Blanco,BI-636,6,5,BILBAO,-2.96896,43.25747,7
248,,2006-10-06,08:24:40,Blanco,AP-68,3,3,BILBAO,-2.89872,43.21586,27
249,Leioa,2006-10-06,01:00:04,Blanco,BI-637,11,11,KURTXES(BERANGO),-2.97779,43.32092,9
250,Bilbao,2006-10-05,21:15:09,Blanco,A-8,111,111,CANTABRIA,-2.883459,43231.0,45
251,,2006-10-05,14:20:34,Blanco,AP-68,4,4,BILBAO,-2.893752,43.20781,27
252,,2006-10-05,09:10:29,Blanco,BI-636,5,5,BILBAO,-2.97122,43.26661,7
253,,2006-10-05,09:18:14,Blanco,N-637,19,19,ERLETXE ( por PTE. RONTEGI),-2.88211,43.28174,15
254,,2006-10-05,08:09:30,Blanco,AP-68,13,13,BILBAO,-2.9368,43.14298,48
255,Basauri,2006-10-04,21:10:33,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378,24
256,Bilbao,2006-10-04,18:23:23,Blanco,A-8,0,0,CANTABRIA,-1.753419,43.33963,50
257,Arrankudiaga,2006-10-04,15:17:21,Blanco,AP-68,10,10,BILBAO,-2.920572,43.16348,46
258,,2006-10-04,09:06:41,Blanco,N-637,19,19,ERLETXE ( por PTE. RONTEGI),-2.88211,43.28174,15
259,Arrigorriaga,2006-10-03,08:03:18,Blanco,AP-68,4,4,BILBAO,-2.893752,43.20781,27
260,,2006-10-03,08:03:18,Blanco,AP-68,15,1,BILBAO,-2.923555,43.12848,31
261,,2006-10-02,21:22:19,Blanco,A-8,111,113,CANTABRIA,-2.883459,43231.0,45
262,,2006-10-02,13:56:54,Blanco,AP-68,8,8,ZARAGOZA,-2.904608,43.17588,46
263,,2006-10-02,12:33:35,Blanco,N-637,18,18,ERLETXE ( por PTE. RONTEGI),-2.89266,43.28633,15
264,Alonsotegi,2006-10-02,10:31:32,Blanco,BI-636,7,7,BILBAO,-2.974041,43.25064,7
265,Bilbao,2006-10-01,22:57:55,Blanco,A-8,112,112,IRUN,-2.89592,43.23205,17
266,Galdakao,2006-09-30,07:40:50,Blanco,N-634,103,103,SANTANDER,-2.861065,43.23255,3
267,Arrigorriaga,2006-09-29,09:15:41,Blanco,AP-68,5,5,BILBAO,-2.894915,43.19935,27
268,,2006-09-29,01:32:48,Blanco,BI-625,354,354,BILBAO,-3.0066,43.01142,31
269,Basauri,2006-09-28,22:18:52,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378,24
270,Bilbao,2006-09-28,23:09:57,Blanco,A-8,118,118,IRUN,-2.95362,43.2578,19
271,Sestao,2006-09-28,21:45:34,Blanco,BI-644,10,10,SESTAO,-3.00785,43.29348,12
272,Basauri,2006-09-28,14:35:37,Blanco,A-8,111,111,IRUN,-2.88343,43.2309,3
273,Arrankudiaga,2006-09-28,07:42:40,Blanco,AP-68,9,9,ZARAGOZA,-2.9156,43.17181,46
274,Bilbao,2006-09-28,02:09:42,Blanco,BI-625,387,387,BILBAO,-2.869607,43.23562,3
275,Gees,2006-09-27,23:24:51,Blanco,BI-636,15,16,BILBAO,-3.042234,43.20626,47
276,,2006-09-27,21:27:52,Blanco,BI-637,14,14,KUKULARRA,-2.999062,43.33758,9
277,Derio,2006-09-27,12:28:14,Blanco,N-637,18,18,ERLETXE ( por PTE. RONTEGI),-2.89266,43.28633,15
278,Arrigorriaga,2006-09-26,08:18:58,Blanco,AP-68,8,9,ZARAGOZA,-2.904608,43.17588,46
279,Zalla,2006-09-27,10:17:02,Blanco,BI-636,25,25,CADAGUA,-3.13841,43.20474,2
280,Santurtzi,2006-09-27,09:33:06,Blanco,N-644,132,132,Bilbao,-3.04274,43.34047,16
281,Basauri,2006-09-27,07:56:13,Blanco,A-8,111,111,IRUN,-2.88343,43.2309,3
282,Leioa,2006-09-27,00:31:38,Blanco,BI-637,11,13,KURTXES(BERANGO),-2.97779,43.32092,9
283,Bilbao,2006-09-26,23:14:07,Blanco,BI-604,3,3,ASUA,-2.948006,43.27291,19
284,Basauri,2006-09-26,21:19:30,Blanco,A-8,113,114,IRUN,-2.90804,43.23352,24
285,Alonsotegi,2006-09-26,11:18:53,Blanco,BI-636,10,10,BILBAO,-3.004337,43.23591,42
286,Lezama,2006-09-26,09:35:35,Blanco,N-637,21,21,ERLETXE ( por PTE. RONTEGI),-2.86075,43.27302,21
287,Arrigorriaga,2006-09-26,08:48:24,Blanco,AP-68,16,17,ZARAGOZA,-2.916557,43.12165,31
288,Santurtzi,2006-09-26,08:39:10,Blanco,N-644,131,132,Bilbao,-3.047636,43.33763,16
289,,2006-09-25,22:11:19,Blanco,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767,8
290,,2006-09-25,21:22:54,Blanco,A-8,114,114,CANTABRIA,-2.919231,43.23613,24
291,Galdakao,2006-09-25,09:07:07,Blanco,N-637,21,22,ERLETXE ( por PTE. RONTEGI),-2.86075,43.27302,21
292,Santurtzi,2006-09-25,16:11:16,Blanco,N-644,132,132,Santurtzi,-3.04274,43.34047,16
293,,2006-09-25,15:08:42,Blanco,AP-68,11,11,BILBAO,-2.92958,43.15721,48
294,Santurtzi,2006-09-25,08:42:57,Blanco,N-644,131,131,Santurtzi,-3.047644,43.3378,16
295,,2006-09-24,22:14:53,Blanco,A-8,113,111,IRUN,-2.90804,43.23352,24
296,Galdakao,2006-09-22,23:28:53,Amarillo,A-8,100,103,CANTABRIA,-2.75548,43.23098,10
297,Muskiz,2006-09-22,09:17:09,Blanco,A-8,136,136,IRUN,-3.11643,43.33947,23
298,Sopuerta,2006-09-22,08:07:56,Blanco,BI-3614,30,31,TRASLAVIA,-3.16409,43.26427,35
299,,2006-09-22,08:17:05,Blanco,N-637,20,22,CRUCES,-2.87165,43.27715,15
300,,2006-09-22,07:55:00,Blanco,AP-68,4,4,BILBAO,-2.893752,43.20781,27
301,Bilbao,2006-09-21,21:23:33,Blanco,A-8,114,114,CANTABRIA,-2.919231,43.23613,24
302,Gees,2006-09-21,23:43:26,Blanco,BI-636,15,15,BILBAO,-3.042234,43.20626,47
303,,2006-09-21,21:26:48,Amarillo,A-8,101,104,CANTABRIA,-2.769068,43.23135,10
304,Galdakao,2006-09-21,22:10:07,Blanco,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767,8
305,,2006-09-21,08:23:52,Amarillo,BI-625,386,386,BILBAO,-2.87693,43.22629,3
306,Santurtzi,2006-09-21,09:35:20,Blanco,N-644,132,132,Santurtzi,-3.04274,43.34047,16
307,Barakaldo,2006-09-20,21:24:18,Blanco,A-8,124,124,IRUN,-3005.0,43.28859,35
308,Galdakao,2006-09-20,22:25:15,Blanco,A-8,106,106,CANTABRIA,-2.82662,43.23,8
309,Bilbao,2006-09-20,22:09:08,Blanco,A-8,113,113,IRUN,-2.90804,43.23352,24
310,,2006-09-20,08:16:32,Blanco,AP-68,7,7,ZARAGOZA,-2.896885,43.18242,27
311,Gees,2006-09-20,12:08:27,Blanco,BI-636,15,15,BILBAO,-3.042234,43.20626,47
312,Muskiz,2006-09-20,09:08:58,Blanco,A-8,136,136,IRUN,-3.11643,43.33947,23
313,Santurtzi,2006-09-20,08:29:15,Blanco,N-644,130,131,Santurtzi,-3.04264,43.32942,16
314,,2006-09-19,21:06:47,Blanco,AP-68,3,3,BILBAO,-2.89872,43.21586,27
315,Galdakao,2006-09-20,01:13:51,Blanco,N-634,92,92,SANTANDER,-2.73286,43.22458,13
316,Barakaldo,2006-09-19,21:15:51,Blanco,A-8,124,124,IRUN,-3005.0,43.28859,35
317,Bilbao,2006-09-19,21:06:47,Blanco,AP-68,15,15,BILBAO,-2.923555,43.12848,31
318,Bilbao,2006-09-19,15:16:15,Blanco,BI-636,5,5,BILBAO,-2.97122,43.26661,7
319,Santurtzi,2006-09-19,13:08:50,Blanco,N-644,132,132,Santurtzi,-3.04274,43.34047,16
320,Urdua-Ordua,2006-09-19,08:19:39,Blanco,AP-68,5,5,ZARAGOZA,-2.894917,43.19963,27
321,Galdakao,2006-09-19,06:13:47,Blanco,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767,8
322,,2006-09-18,20:52:24,Blanco,AP-68,3,3,BILBAO,-2.89872,43.21586,27
323,Galdakao,2006-09-18,23:47:46,Blanco,N-634,98,98,DONOSTIA/SAN SEBASTIN,-2.80671,43.23633,8
324,Bilbao,2006-09-18,20:52:24,Blanco,AP-68,15,15,BILBAO,-2.923555,43.12848,31
325,Erandio,2006-09-18,09:18:27,Blanco,BI-637,14,14,KUKULARRA,-2.999062,43.33758,9
326,Erandio,2006-09-18,09:18:27,Blanco,N-637,14,14,CRUCES,-2.93759,43.28712,39
327,Arrigorriaga,2006-09-17,22:49:40,Blanco,AP-68,4,4,BILBAO,-2.893752,43.20781,27
328,Bilbao,2006-09-18,00:43:23,Blanco,BI-631,6,6,Bermeo,-2.90798,43.26513,17
329,Barakaldo,2006-09-17,23:13:27,Blanco,N-634,117,117,SANTANDER,-2.978089,43.27842,7
330,Galdakao,2006-09-17,22:48:39,Blanco,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767,8
331,,2006-09-15,10:06:26,Blanco,BI-636,5,6,BILBAO,-2.97122,43.26661,7
332,,2006-09-14,22:09:40,Amarillo,A-8,113,113,CANTABRIA,-2.908069,43.23378,24
333,,2006-09-14,11:49:06,Blanco,BI-637,15,15,KURTXES(BERANGO),-2.99255,43.34514,9
334,,2006-09-14,09:26:40,Blanco,AP-68,17,17,BILBAO,-2.91414,43.11255,31
335,Balmaseda,2006-09-14,10:57:32,Blanco,BI-636,4,6,BILBAO,-2.964667,43.26813,7
336,,2006-09-14,08:52:43,Blanco,N-644,130,130,Santurtzi,-3.04264,43.32942,16
337,Basauri,2006-09-13,21:20:49,Blanco,A-8,113,111,IRUN,-2.90804,43.23352,24
338,Gees,2006-09-13,20:31:38,Blanco,BI-636,17,17,CADAGUA,-3.05277,43.19161,47
339,Arrigorriaga,2006-09-13,13:09:31,Blanco,AP-68,6,6,ZARAGOZA,-2.89627,43.19152,27
340,,2006-09-13,11:53:45,Blanco,A-8,126,126,CANTABRIA,-3.02221,43.30038,12
341,Bilbao,2006-09-13,10:34:26,Blanco,BI-636,4,6,CADAGUA,-2.964667,43.26813,7
342,Arrigorriaga,2006-09-12,21:19:57,Blanco,AP-68,5,5,BILBAO,-2.894915,43.19935,27
343,,2006-09-12,16:05:52,Amarillo,BI-636,8,8,BILBAO,-2.982984,43.2456,51
344,,2006-09-12,16:05:52,Amarillo,BI-637,8,8,KUKULARRA,-2.96382,43.30131,9
345,Arrigorriaga,2006-09-12,11:52:37,Blanco,AP-68,2,1,BILBAO,-2.90963,43.21954,24
346,,2006-09-11,21:52:45,Blanco,A-8,108,108,CANTABRIA,-2.8481,43.23587,18
347,Basauri,2006-09-11,21:28:25,Blanco,A-8,113,111,IRUN,-2.90804,43.23352,24
348,Bilbao,2006-09-11,10:45:48,Blanco,AP-68,7,7,ZARAGOZA,-2.896885,43.18242,27
349,"Etxebarri, Ant S. Esteban-Etxebarri D. E.",2006-09-11,08:58:41,Blanco,N-634,107,107,DONOSTIA/SAN SEBASTIN,-2.893143,43.25446,17
350,Arrigorriaga,2006-09-10,23:54:59,Blanco,AP-68,5,5,BILBAO,-2.894915,43.19935,27
351,Bilbao,2006-09-08,07:58:25,Blanco,AP-68,5,5,BILBAO,-2.894915,43.19935,27
352,,2006-09-07,23:13:37,Blanco,N-637,19,19,ERLETXE ( por PTE. RONTEGI),-2.88211,43.28174,15
353,Basauri,2006-09-07,21:15:34,Blanco,A-8,112,112,CANTABRIA,-2.89581,43.23219,17
354,Alonsotegi,2006-09-07,16:25:11,Blanco,BI-636,8,8,BILBAO,-2.982984,43.2456,51
355,Bilbao,2006-09-07,03:22:24,Blanco,AP-68,15,15,BILBAO,-2.923555,43.12848,31
356,Alonsotegi,2006-09-07,10:03:51,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061,28
357,Bilbao,2006-09-07,03:22:24,Blanco,AP-68,5,5,BILBAO,-2.894915,43.19935,27
358,,2006-09-06,23:43:22,Blanco,N-634,93,93,DONOSTIA/SAN SEBASTIN,-2.74404,43.22788,20
359,,2006-09-06,23:07:33,Blanco,BI-604,6,6,ASUA,-2.95429,43.29389,9
360,Basauri,2006-09-06,21:51:21,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378,24
361,Bilbao,2006-09-06,08:44:51,Blanco,AP-68,7,7,BILBAO,-2.896871,43.18217,27
362,Bilbao,2006-09-05,21:34:51,Blanco,AP-68,0,0,BILBAO,-2917.0,43.23466,35
363,Galdakao,2006-09-06,04:48:04,Blanco,N-637,27,27,ERLETXE ( por PTE. RONTEGI),-2.80346,43.24778,8
364,Bilbao,2006-09-05,23:22:49,Blanco,BI-604,7,7,BILBAO,-2.94935,43.29915,9
365,Galdakao,2006-09-05,10:31:30,Blanco,N-634,99,99,DONOSTIA/SAN SEBASTIN,-2.81734,43.23187,8
366,,2006-09-05,10:25:08,Blanco,BI-636,8,8,BILBAO,-2.982984,43.2456,51
367,Arrigorriaga,2006-09-05,08:02:09,Blanco,AP-68,7,7,BILBAO,-2.896871,43.18217,27
368,Santurtzi,2006-09-05,06:01:28,Blanco,N-644,132,132,Bilbao,-3.04274,43.34047,16
369,,2006-09-05,00:15:45,Blanco,A-8,102,102,IRUN,-2.78204,43.23156,26
370,Erandio,2006-09-04,22:52:43,Blanco,BI-637,9,9,KURTXES(BERANGO),-2.96194,43.30914,9
371,Basauri,2006-09-04,22:24:46,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378,24
372,Bilbao,2006-09-04,09:55:34,Blanco,BI-636,7,7,BILBAO,-2.974041,43.25064,7
373,Bilbao,2006-09-04,07:35:45,Rojo,AP-68,2,2,ZARAGOZA,-2.909877,43.21948,24
374,Bilbao,2006-09-03,21:57:20,Blanco,N-634,117,117,SANTANDER,-2.978089,43.27842,7
375,Bilbao,2006-09-01,10:08:42,Blanco,BI-636,8,8,BILBAO,-2.982984,43.2456,51
376,Areatza,2006-09-01,09:57:12,Blanco,N-240,28,28,BILBAO,-2.70798,43.06164,0
377,Bilbao,2006-09-01,09:35:07,Amarillo,N-634,103,107,SANTANDER,-2.861065,43.23255,3
378,Muskiz,2006-09-01,09:05:21,Blanco,A-8,139,139,IRUN,-3.1511,43.34147,35
379,Basauri,2006-09-01,04:33:21,Blanco,A-8,111,111,CANTABRIA,-2.883459,43231.0,45
380,Barakaldo,2006-08-31,23:53:54,Blanco,A-8,124,124,IRUN,-3005.0,43.28859,35
381,Bilbao,2006-08-31,08:51:21,Amarillo,N-634,103,107,SANTANDER,-2.861065,43.23255,3
382,,2006-08-31,08:40:49,Blanco,BI-636,5,5,CADAGUA,-2.97139,43.26691,7
383,Santurtzi,2006-08-30,21:10:08,Blanco,N-644,131,131,Bilbao,-3.047636,43.33763,16
384,Balmaseda,2006-06-19,16:14:58,Blanco,BI-636,17,17,CADAGUA,-3.05277,43.19161,47
385,Santurtzi,2006-08-29,21:03:35,Blanco,N-644,131,131,Bilbao,-3.047636,43.33763,16
386,,2006-08-29,08:54:16,Blanco,AP-68,18,19,ZARAGOZA,-2.915516,43.10396,31
387,Leioa,2006-08-28,23:02:19,Blanco,BI-637,13,14,KUKULARRA,-2.99625,43.33018,9
388,Bilbao,2006-08-28,02:08:44,Amarillo,BI-604,3,3,ASUA,-2.948006,43.27291,19
